"intense eye pain, blurred sight, red eye, nausea, seeing rainbows around light sources",Glaucoma
"severe headache, eye pain, nausea, loss of peripheral vision, blurred sight",Glaucoma
"seeing halos, sudden intense eye pain, vomiting, blurred vision, red eye",Glaucoma
"loss of peripheral vision, blurred sight, severe eye pain, headache, seeing halos",Glaucoma
"constant fatigue, pale skin (pallor), shortness of breath, dizziness, cold hands and feet",Anemia
"extreme tiredness, pale appearance, heart palpitations, weakness, feeling cold often",Anemia
"fatigue, shortness of breath on exertion, pallor, lightheadedness, fast heartbeat",Anemia
"weakness, pale skin, cold feet, dizziness, constant tiredness",Anemia
"pallor, shortness of breath, severe fatigue, heart palpitations, pale gums",Anemia
"constant fatigue, pale skin (pallor), shortness of breath, dizziness, cold hands and feet",Anemia
"extreme tiredness, pale appearance, heart palpitations, weakness, feeling cold often",Anemia
"fatigue, shortness of breath on exertion, pallor, lightheadedness, fast heartbeat",Anemia
"weakness, pale skin, cold feet, dizziness, constant tiredness",Anemia
"pallor, shortness of breath, severe fatigue, heart palpitations, pale gums",Anemia
"constant fatigue, pale skin (pallor), shortness of breath, dizziness, cold hands and feet",Anemia
"extreme tiredness, pale appearance, heart palpitations, weakness, feeling cold often",Anemia
"fatigue, shortness of breath on exertion, pallor, lightheadedness, fast heartbeat",Anemia
"weakness, pale skin, cold feet, dizziness, constant tiredness",Anemia
"pallor, shortness of breath, severe fatigue, heart palpitations, pale gums",Anemia
"constant fatigue, pale skin (pallor), shortness of breath, dizziness, cold hands and feet",Anemia
"extreme tiredness, pale appearance, heart palpitations, weakness, feeling cold often",Anemia
"fatigue, shortness of breath on exertion, pallor, lightheadedness, fast heartbeat",Anemia
"weakness, pale skin, cold feet, dizziness, constant tiredness",Anemia
"pallor, shortness of breath, severe fatigue, heart palpitations, pale gums",Anemia
"constant fatigue, pale skin (pallor), shortness of breath, dizziness, cold hands and feet",Anemia
"extreme tiredness, pale appearance, heart palpitations, weakness, feeling cold often",Anemia
"fatigue, shortness of breath on exertion, pallor, lightheadedness, fast heartbeat",Anemia
"weakness, pale skin, cold feet, dizziness, constant tiredness",Anemia
"pallor, shortness of breath, severe fatigue, heart palpitations, pale gums",Anemia
"constant fatigue, pale skin (pallor), shortness of breath, dizziness, cold hands and feet",Anemia
"extreme tiredness, pale appearance, heart palpitations, weakness, feeling cold often",Anemia
"fatigue, shortness of breath on exertion, pallor, lightheadedness, fast heartbeat",Anemia
"weakness, pale skin, cold feet, dizziness, constant tiredness",Anemia
"pallor, shortness of breath, severe fatigue, heart palpitations, pale gums",Anemia
"constant fatigue, pale skin (pallor), shortness of breath, dizziness, cold hands and feet",Anemia
"extreme tiredness, pale appearance, heart palpitations, weakness, feeling cold often",Anemia
"fatigue, shortness of breath on exertion, pallor, lightheadedness, fast heartbeat",Anemia
"weakness, pale skin, cold feet, dizziness, constant tiredness",Anemia
"pallor, shortness of breath, severe fatigue, heart palpitations, pale gums",Anemia
"constant fatigue, pale skin (pallor), shortness of breath, dizziness, cold hands and feet",Anemia
"extreme tiredness, pale appearance, heart palpitations, weakness, feeling cold often",Anemia
"fatigue, shortness of breath on exertion, pallor, lightheadedness, fast heartbeat",Anemia
"weakness, pale skin, cold feet, dizziness, constant tiredness",Anemia
"pallor, shortness of breath, severe fatigue, heart palpitations, pale gums",Anemia
"often asymptomatic, occasional headache, dizziness, facial flushing, vision changes",Hypertension
"no symptoms, persistent headache, brief dizzy spells, nosebleeds, pounding in chest",Hypertension
"headache (usually morning), dizziness, high blood pressure readings, shortness of breath",Hypertension
"occasional severe headache, dizziness, ringing in ears, unexplained nosebleeds",Hypertension
"asymptomatic, persistent headaches, ringing in the ears (tinnitus), dizziness, confusion",Hypertension
"often asymptomatic, occasional headache, dizziness, facial flushing, vision changes",Hypertension
"no symptoms, persistent headache, brief dizzy spells, nosebleeds, pounding in chest",Hypertension
"headache (usually morning), dizziness, high blood pressure readings, shortness of breath",Hypertension
"occasional severe headache, dizziness, ringing in ears, unexplained nosebleeds",Hypertension
"asymptomatic, persistent headaches, ringing in the ears (tinnitus), dizziness, confusion",Hypertension
"often asymptomatic, occasional headache, dizziness, facial flushing, vision changes",Hypertension
"no symptoms, persistent headache, brief dizzy spells, nosebleeds, pounding in chest",Hypertension
"headache (usually morning), dizziness, high blood pressure readings, shortness of breath",Hypertension
"occasional severe headache, dizziness, ringing in ears, unexplained nosebleeds",Hypertension
"asymptomatic, persistent headaches, ringing in the ears (tinnitus), dizziness, confusion",Hypertension
"often asymptomatic, occasional headache, dizziness, facial flushing, vision changes",Hypertension
"no symptoms, persistent headache, brief dizzy spells, nosebleeds, pounding in chest",Hypertension
"headache (usually morning), dizziness, high blood pressure readings, shortness of breath",Hypertension
"occasional severe headache, dizziness, ringing in ears, unexplained nosebleeds",Hypertension
"asymptomatic, persistent headaches, ringing in the ears (tinnitus), dizziness, confusion",Hypertension
"often asymptomatic, occasional headache, dizziness, facial flushing, vision changes",Hypertension
"no symptoms, persistent headache, brief dizzy spells, nosebleeds, pounding in chest",Hypertension
"headache (usually morning), dizziness, high blood pressure readings, shortness of breath",Hypertension
"occasional severe headache, dizziness, ringing in ears, unexplained nosebleeds",Hypertension
"asymptomatic, persistent headaches, ringing in the ears (tinnitus), dizziness, confusion",Hypertension
"often asymptomatic, occasional headache, dizziness, facial flushing, vision changes",Hypertension
"no symptoms, persistent headache, brief dizzy spells, nosebleeds, pounding in chest",Hypertension
"headache (usually morning), dizziness, high blood pressure readings, shortness of breath",Hypertension
"occasional severe headache, dizziness, ringing in ears, unexplained nosebleeds",Hypertension
"asymptomatic, persistent headaches, ringing in the ears (tinnitus), dizziness, confusion",Hypertension
"often asymptomatic, occasional headache, dizziness, facial flushing, vision changes",Hypertension
"no symptoms, persistent headache, brief dizzy spells, nosebleeds, pounding in chest",Hypertension
"headache (usually morning), dizziness, high blood pressure readings, shortness of breath",Hypertension
"occasional severe headache, dizziness, ringing in ears, unexplained nosebleeds",Hypertension
"asymptomatic, persistent headaches, ringing in the ears (tinnitus), dizziness, confusion",Hypertension
"often asymptomatic, occasional headache, dizziness, facial flushing, vision changes",Hypertension
"no symptoms, persistent headache, brief dizzy spells, nosebleeds, pounding in chest",Hypertension
"headache (usually morning), dizziness, high blood pressure readings, shortness of breath",Hypertension
"occasional severe headache, dizziness, ringing in ears, unexplained nosebleeds",Hypertension
"asymptomatic, persistent headaches, ringing in the ears (tinnitus), dizziness, confusion",Hypertension
"persistent sadness, loss of interest in activities, significant weight change, insomnia, feelings of worthlessness",Major Depressive Disorder (MDD)
"loss of pleasure, persistent sadness, difficulty concentrating, sleeping too much (hypersomnia), low energy",Major Depressive Disorder (MDD)
"hopelessness, lack of interest, constant fatigue, difficulty making decisions, suicidal thoughts",Major Depressive Disorder (MDD)
"depressed mood, changes in appetite, psychomotor retardation, feelings of guilt, trouble sleeping",Major Depressive Disorder (MDD)
"low energy, persistent sadness, loss of pleasure, difficulty focusing, significant appetite change",Major Depressive Disorder (MDD)
"persistent sadness, loss of interest in activities, significant weight change, insomnia, feelings of worthlessness",Major Depressive Disorder (MDD)
"loss of pleasure, persistent sadness, difficulty concentrating, sleeping too much (hypersomnia), low energy",Major Depressive Disorder (MDD)
"hopelessness, lack of interest, constant fatigue, difficulty making decisions, suicidal thoughts",Major Depressive Disorder (MDD)
"depressed mood, changes in appetite, psychomotor retardation, feelings of guilt, trouble sleeping",Major Depressive Disorder (MDD)
"low energy, persistent sadness, loss of pleasure, difficulty focusing, significant appetite change",Major Depressive Disorder (MDD)
"persistent sadness, loss of interest in activities, significant weight change, insomnia, feelings of worthlessness",Major Depressive Disorder (MDD)
"loss of pleasure, persistent sadness, difficulty concentrating, sleeping too much (hypersomnia), low energy",Major Depressive Disorder (MDD)
"hopelessness, lack of interest, constant fatigue, difficulty making decisions, suicidal thoughts",Major Depressive Disorder (MDD)
"depressed mood, changes in appetite, psychomotor retardation, feelings of guilt, trouble sleeping",Major Depressive Disorder (MDD)
"low energy, persistent sadness, loss of pleasure, difficulty focusing, significant appetite change",Major Depressive Disorder (MDD)
"persistent sadness, loss of interest in activities, significant weight change, insomnia, feelings of worthlessness",Major Depressive Disorder (MDD)
"loss of pleasure, persistent sadness, difficulty concentrating, sleeping too much (hypersomnia), low energy",Major Depressive Disorder (MDD)
"hopelessness, lack of interest, constant fatigue, difficulty making decisions, suicidal thoughts",Major Depressive Disorder (MDD)
"depressed mood, changes in appetite, psychomotor retardation, feelings of guilt, trouble sleeping",Major Depressive Disorder (MDD)
"low energy, persistent sadness, loss of pleasure, difficulty focusing, significant appetite change",Major Depressive Disorder (MDD)
"persistent sadness, loss of interest in activities, significant weight change, insomnia, feelings of worthlessness",Major Depressive Disorder (MDD)
"loss of pleasure, persistent sadness, difficulty concentrating, sleeping too much (hypersomnia), low energy",Major Depressive Disorder (MDD)
"hopelessness, lack of interest, constant fatigue, difficulty making decisions, suicidal thoughts",Major Depressive Disorder (MDD)
"depressed mood, changes in appetite, psychomotor retardation, feelings of guilt, trouble sleeping",Major Depressive Disorder (MDD)
"low energy, persistent sadness, loss of pleasure, difficulty focusing, significant appetite change",Major Depressive Disorder (MDD)
"persistent sadness, loss of interest in activities, significant weight change, insomnia, feelings of worthlessness",Major Depressive Disorder (MDD)
"loss of pleasure, persistent sadness, difficulty concentrating, sleeping too much (hypersomnia), low energy",Major Depressive Disorder (MDD)
"hopelessness, lack of interest, constant fatigue, difficulty making decisions, suicidal thoughts",Major Depressive Disorder (MDD)
"depressed mood, changes in appetite, psychomotor retardation, feelings of guilt, trouble sleeping",Major Depressive Disorder (MDD)
"low energy, persistent sadness, loss of pleasure, difficulty focusing, significant appetite change",Major Depressive Disorder (MDD)
"persistent sadness, loss of interest in activities, significant weight change, insomnia, feelings of worthlessness",Major Depressive Disorder (MDD)
"loss of pleasure, persistent sadness, difficulty concentrating, sleeping too much (hypersomnia), low energy",Major Depressive Disorder (MDD)
"hopelessness, lack of interest, constant fatigue, difficulty making decisions, suicidal thoughts",Major Depressive Disorder (MDD)
"depressed mood, changes in appetite, psychomotor retardation, feelings of guilt, trouble sleeping",Major Depressive Disorder (MDD)
